Produto,Preco
                Celular do Idoso letras grandes 32GB SOS - Fácil de usar            , 835.98
                Smartphone Motorola Moto G52 128GB Azul 4G - Octa-Core 4GB RAM 66” Câm Tripla + Selfie 16MP            , 1259.10
                Smartphone Samsung Galaxy A03 64GB Azul 4G - Octa-Core 4GB RAM Tela 65” Câm Dupla + Sefie 5MP            , 949.00
                Smartphone Samsung Galaxy A03 Core 32GB Azul 4G - Octa-Core 2GB Ram 65” Câm 8MP + Selfie 5MP            , 719.10
                Tablet Samsung Galaxy Tab A8 105” Wi-Fi 64GB - Android 110 UniSOC T618 Câm 8MP + Selfie 5MP            , 1440.57
                Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 66” Câm Quádrupla + Selfie 8MP            , 1349.10
                Smartphone Motorola Moto G22 128gb 4g Tela 65'' Dual 4gb Ram Câmera Quádrupla + Selfie 16mp - Verde            , 1149.90
                Smartphone Motorola Moto G20 128GB Verde 4G - 4GB RAM Tela 65” Câm Quadrupla + Câm Selfie 13MP            , 1241.10
                iPhone 13 Apple (128GB) Estelar Tela de 61 5G e Câmera Dupla de 12MP            , 5414.05
                Smartphone Multilaser E Lite 3G 32GB Dual Chip - Dourado            , 332.00
                Smartphone Samsung Galaxy M52 128GB Branco 5G - 6GB RAM Tela 67” Câm Tripla + Selfie 32MP            , 1599.00
                Smartphone Xiaomi Redmi Note 11 643'' 4GB+128GB Cinza + Fone Bluetooth Xiaomi Earbuds Basic 2            , 1867.24
                Celular Smartphone Philco Hit P8 64gb 3GB Ram Rose Gold 6            , 677.67
                Smartphone Samsung Galaxy S20 FE 5G 128GB Branco - Octa-Core 6GB RAM 65” Câm Tripla + Selfie 32MP            , 2199.00
                Smartphone Samsung Galaxy M13 128GB Azul 4G - Octa-Core 4GB RAM 66” Câm Tripla + Selfie 8MP            , 1099.00
                Smartphone Motorola Moto g31 128GB Grafite 4G - Octa-Core 4GB RAM 64” Câm Tripla + Selfie 13MP            , 1259.10
                Smartphone Motorola Moto G60 128GB 4GB RAM Câmera Tripla 108 MP + 8 MP + 2 MP Frontal 32 MP Prata            , 1504.20
                Smartphone Motorola Moto G22 128GB Verde 4G - Octa-Core 4GB RAM 65” Câm Quádrupla + Selfie 16MP            , 1169.10
                Smartphone Motorola Moto G20 128GB 4G Octa-Core 4GB RAM Câmera Quádrupla Azul + Capa Protetora - PANG0056BR            , 1139.05
                Smartphone Samsung Galaxy A13 128GB Azul 4G - Octa-Core 4GB RAM 66” Câm Quádrupla + Selfie 8MP            , 1399.00
                iPhone 11 Apple 128GB Amarelo 61” 12MP iOS            ,
                Smartphone Samsung Galaxy M23 128GB Azul 5G - Octa-Core 6GB RAM 66” Câm Tripla + Selfie 8MP            , 1331.10
                Smartphone Motorola Moto G20 128GB 4G Octa-Core 4GB RAM Câmera Quádrupla Verde + Capa Protetora - PANG0055BR            , 1139.05
                Smartphone Philco Hit P10 - 128GB 4GB RAM Octa-core Tela 62 3 Câmeras - Dark Blue            , 740.91
                Smartphone Motorola Moto G60 128GB Preto 4G - 4GB RAM Tela 68” Câm Tripla + Selfie 32MP            , 1599.00
                Smartphone Motorola Moto G22 128GB Preto 4G - Octa-Core 4GB RAM 65” Câm Quádrupla + Selfie 16MP            , 1169.10
                Carregador USB-C de 20W Apple Branco Original            , 169.00
                Smartphone Motorola Moto G60S 128GB 6GB RAM 4G Tela 68 Câmera 64 + 8 + 5 + 2MP Frontal 16MP Verde            , 1590.68
                iPhone 11 Apple 128GB Verde 61” 12MP iOS            ,
                Carregador 20W Tipo-C + Cabo Turbo iPhone 11 / 11 Pro / 12 / 12 Pro Max /  X / XS / XR / XS Max - Premium            , 74.90
                Smartphone Samsung Galaxy A13 128GB Preto 4G - Octa-Core 4GB RAM 66” Câm Quádrupla + Selfie 8MP            , 1399.00
                Smartphone Samsung Galaxy A52 128GB 6GB RAM Tela de 65            , 1749.00
                Celular do Idoso 16gb Letras Grandes Tela 4' Android 11 Novo Grafite - Positivo            , 359.91
                Smartphone Motorola Moto G71 5G 6GB RAM 128GB Câmera Tripla 50MP Octa Core Tela 64 Verde - PAS20017BR            , 1690.05
                Smartphone Motorola Moto E6i 32GB Pink - 4G 2GB RAM Tela 61” Câm Dupla + Selfie 5MP            , 854.10
                Smartphone Xiaomi Redmi Note 11 128Gb Tela 643 Câmeras 50MP+8MP+2MP+2MP Cinza CX332CIN  XIAOMI            , 2031.92
                Apple iPhone 13 128GB Estelar Tela 61” 12MP - iOS            , 5489.10
                Smartphone Motorola G60s 128GB Verde 4G - 6GB RAM Tela 68” Câm Quádrupla + Selfie 16MP            ,
                Relógio Inteligente SmartWatch W34 S Troca Pulseira Ligações Monitor Cardíaco Android e iOS cores - aws - Fitaws            , 116.96
                Smartphone Motorola  Moto G31 128GB 4GB RAM Octa Core Câmera Tripla 50MP Tela 64 Azul - PASK0036BR            , 1179.00
                Celular Red Mobile Mega II M010G Dual Chip 32MB - 2G Rádio FM Bluetooth Desbloqueado            , 89.10
                Smartphone Samsung Galaxy A52s 128GB Preto 5G - 6GB RAM Tela 65” Câm Quádrupla + Selfie 32MP            ,
                Smartphone Samsung Galaxy Note20 256GB Mystic - Green 8GB RAM Tela 67” Câm Tripla + Selfie 10MP            , 3239.10
                Carregador 20W Turbo Fonte USB-C Compatível Iphone 11 - Hrebos            , 88.26
                Smartphone Positivo S432 Twist 4 Mini 16GB Tela 4 3G - Grafite - POSITIVO MOBILE            , 274.00
                Carregador Turbo 20W + Cabo Lightning para USB-C Compatível Iphone 11 12 13 Pro Max X XR XS - Power Adapter            , 98.01
                Smartphone Motorola Moto G52 128GB Preto 4G - Octa-Core 4GB RAM 66” Câm Tripla + Selfie 16MP            , 1259.10
                Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 66” Câm Quádrupla + Selfie 8MP            , 1349.10
                Capa Case Anti Impacto Samsung Galaxy M52 5G + Pelicula 5D - Inboxmobile            , 20.00
                iPhone 11 Apple 64GB Preto 61” 12MP iOS            , 3419.10
                Smartphone Motorola Edge 20 Lite 128GB Grafite - 5G 6GB RAM Tela 67” Câm Tripla + Selfie 32MP            , 1799.10
